artist,bidavr,rate,amount
ARASHI,8,36,67400
YAZAWA,5,29,8708
HAMADA,4,27,7731
AYU,3,10,8094
HIMURO,4,18,7214
NOGIZAKA46,3,50,25447
NAKAJIMA,4,27,8537
NAKAMORI,4,20,8201
NISHINO,4,34,8244
HOSHINO,6,52,7289
YUMIN,3,18,7280
SEIKO,4,16,8973
EIGHT,7,28,20411
AMURO,3,18,9026
ALLSTARS,5,22,11060
V6,6,26,9352
SMAP,5,18,10596
SKE48,2,22,11695
SEKAI NO OWARI,5,37,7522
Perfume,5,26,8978
NMB48,3,29,15809
NEWS,5,35,18422
Mr.Children,5,22,12936
KAT-TUN,5,21,8854
HKT48,2,38,10820
EXILE,4,18,12425
BUMP OF CHICKEN,5,24,7267
BABYMETAL,6,53,9147
B'z,4,13,8382
AKB48,3,27,82187
